LINE,LOC,FW
1,1,0.503960547368828
2,1,0.596373816536388
3,1,0.523390383884986
4,1,0.452467377661588
5,1,0.307875979865021
6,1,0.584806890827327
7,1,0.262718413025588
8,1,0.602777391759675
9,1,0.484905546823496
10,1,0.466675952505968
11,1,0.26685046608074
12,1,0.658873935519171
13,1,0.328574708989415
14,1,0.494564081577728
15,1,0.490582378325024
16,1,0.709318154110756
17,1,0.957241418529226
18,1,0.61027827868191
19,1,0.499651228154641
20,1,1.19482116336808
21,1,0.694004243237294
22,1,0.691508772081064
23,1,0.487142019213474
24,1,0.590401082526992
25,1,0.507744889986291
26,1,0.55505300669256
27,1,0.671138867726614
28,1,0.524998081320381
29,1,0.416350820818329
30,1,0.630851057594506
31,1,0.480666843477585
32,1,0.552556422532405
33,1,0.4281920953587
34,1,0.635028587472772
35,1,0.363966770407503
36,1,0.50404592299752
37,1,0.706492727606956
38,1,0.62829191851787
39,1,0.578377277580105
40,1,0.533603561257345
41,1,0.663181547631183
42,1,0.478160717268243
43,1,0.463386477294194
44,1,0.487415737771739
45,1,0.529174692749387
46,1,0.740662405961674
47,1,0.840018188644663
48,1,0.519248321224654
49,1,0.788132140584014
50,1,0.449662458171864
51,1,0.626970635458852
52,1,0.56667125360357
53,1,0.7109305451219
54,1,0.699884647306757
55,1,0.771435894258027
56,1,0.661047502691452
57,1,0.551393629727483
58,1,0.409565473419135
59,1,0.471235453918651
60,1,0.594634457697759
61,1,0.485769211186371
62,1,0.386133718033475
63,1,0.590739459522696
64,1,0.544358416427471
65,1,0.340288660080111
66,1,0.475470215137111
67,1,0.515559868793525
1,2,0.587379193377818
2,2,0.545173983801662
3,2,0.389813035153541
4,2,0.575842376285942
5,2,0.533115807095473
6,2,0.714177087144144
7,2,0.48556833431881
8,2,0.91072782045698
9,2,0.637457632904086
10,2,0.89443166873415
11,2,0.411419650068502
12,2,0.931897741102591
13,2,0.374350122926403
14,2,0.70722865744572
15,2,0.554486773637021
16,2,0.826056908485978
17,2,0.725755126685652
18,2,0.971461671234028
19,2,0.37558823254717
20,2,0.878226407187874
21,2,0.94681203954277
22,2,0.594798252970817
23,2,0.610488366952524
24,2,0.584265903818766
25,2,0.60700447169935
26,2,1.04294983937527
27,2,0.452527869869989
28,2,0.710349705050886
29,2,0.67786754711039
30,2,0.637232435258277
31,2,0.629670060391583
32,2,0.714309566705047
33,2,0.641470751988786
34,2,0.761322043638447
35,2,0.542809399621142
36,2,0.935506536976906
37,2,0.388872487305759
38,2,0.677380067036377
39,2,0.631750505010093
40,2,0.688933431297096
41,2,0.828519818099933
42,2,0.410827435944733
43,2,0.759588646676778
44,2,0.575263231476038
45,2,0.51722178426218
46,2,0.535275981077881
47,2,0.764158473997191
48,2,0.557303739448825
49,2,0.970025745034881
50,2,0.591516787603802
51,2,0.388196970506223
52,2,0.453654711571998
53,2,0.684397479057322
54,2,0.635296336614303
55,2,0.645742207176011
56,2,0.649669086242453
57,2,0.606621182729198
58,2,0.502389496528806
59,2,0.339015340326389
60,2,0.833403061061957
61,2,0.814693249722906
62,2,0.518427801547768
63,2,0.878255997772106
64,2,0.496028468045656
65,2,0.524098802435272
66,2,0.618359780061628
67,2,0.832996980859213
