"line","FW"
1,97.2403472233049
2,74.0030606034677
3,105.908452510311
4,104.26915288824
5,81.1650098309887
6,65.8483347412343
7,109.433911187212
8,95.7686156325421
9,113.782949004445
10,115.264787176763
11,87.3865135069342
12,86.8796571301485
13,106.642374449136
14,82.1398327370172
15,87.8162912156403
16,94.6231883032669
17,73.1044751499239
18,99.2762015852179
19,96.4684222712747
20,88.2833242090361
21,96.674631081895
22,109.135551486863
23,87.0860767894416
24,106.059904131807
25,94.2210285000179
26,84.1552700585538
27,101.324802863715
28,106.032695862363
29,94.2156615327649
30,74.5482710662068
31,82.6798571148442
32,103.977993404823
33,107.605948264341
34,96.6094664530485
35,95.3189966340465
36,100.942275607382
37,87.6384997507917
38,95.5130882436654
39,107.710349732609
40,88.4386069272121
41,97.3407927863208
42,97.4531730635788
43,108.011773130699
44,105.107236405127
45,95.9759168260583
46,77.6752033318336
47,72.8600780045853
48,88.6300235205807
49,92.6844077040312
50,76.1498863008491
51,79.7048073632076
52,92.0597059056828
53,107.423133493257
54,94.3048844442817
55,95.688261881485
56,95.7490033657602
57,86.1379109762409
58,104.358376876054
59,72.221067556603
60,78.7176251212178
61,81.2684462091553
62,98.5581786324768
63,85.3172207711927
64,78.5935267090634
65,102.322599488062
66,127.743494112686
67,86.7815914131953
